budget	eps	target	goal	poison	target_loss_reinit	target_acc_reinit	target_loss_rerun	target_acc_rerun	brewed_loss	optim	iter	loss	tau	centreg	normreg	repel	init	pbatch	ens	vruns	pshuffle	paugment	step	full_data	stagger	maxepoch	nadapt	data_aug	epochs	lr	poison_loss	restarts	step_decay	ablation	benchmark_idx	target_mloss_reinit	target_macc_reinit	target_mloss_rerun	target_macc_rerun	target_clean_loss_reinit	target_clean_acc_reinit	target_clean_loss_rerun	target_clean_acc_rerun	train_time	brew_time	test_time	train_loss_reinit	val_loss_reinit	train_acc_reinit	val_acc_reinit	train_loss_rerun	val_loss_rerun	train_acc_rerun	val_acc_rerun	train_loss_clean	val_loss_clean	train_acc_clean	val_acc_clean	poisonkey	modelkey	net	vnet	ARG_net	ARG_dataset	ARG_recipe	ARG_threatmodel	ARG_scenario	ARG_poisonkey	ARG_modelkey	ARG_deterministic	ARG_eps	ARG_budget	ARG_targets	ARG_patch_size	ARG_name	ARG_table_path	ARG_poison_path	ARG_data_path	ARG_modelsave_path	ARG_mixing_method	ARG_mixing_disable_correction	ARG_mixing_strength	ARG_disable_adaptive_attack	ARG_defend_features_only	ARG_gradient_noise	ARG_gradient_clip	ARG_defense_type	ARG_defense_strength	ARG_defense_steps	ARG_defense_targets	ARG_filter_defense	ARG_padversarial	ARG_pmix	ARG_attackoptim	ARG_attackiter	ARG_init	ARG_tau	ARG_scheduling	ARG_target_criterion	ARG_restarts	ARG_load_patch	ARG_pbatch	ARG_pshuffle	ARG_paugment	ARG_data_aug	ARG_full_data	ARG_ensemble	ARG_stagger	ARG_step	ARG_max_epoch	ARG_ablation	ARG_loss	ARG_centreg	ARG_normreg	ARG_repel	ARG_nadapt	ARG_clean_grad	ARG_vruns	ARG_vnet	ARG_retrain_from_init	ARG_skip_clean_training	ARG_pretrained_model	ARG_pretrain_dataset	ARG_optimization	ARG_epochs	ARG_lr	ARG_noaugment	ARG_lmdb_path	ARG_cache_dataset	ARG_benchmark	ARG_benchmark_idx	ARG_dryrun	ARG_save	ARG_local_rank	val_acc_base_clean	val_acc_target_clean	val_acc_base_rerun	val_acc_target_rerun	val_acc_base_reinit	val_acc_target_reinit
0.01	16	frog	airplane	airplane	4.31528314948082e-05	1.0			0.21229219436645508	signAdam	250	similarity	0.1	0	0	0	randn	512	1	1	False	True	False	False			2	default	40	0.1	cross-entropy	8	True	1.0	0	1.6577436593568564	0.75			12.939447402954102	0.0			0:09:29.759750	0:33:36.187681	0:09:36.913639	0.054784410511669906	0.25052740406009216	0.98254	0.9234923492349235					0.0559035359841326	0.25256519227088253	0.98276	0.9247924792479248	1773066409	1072135517	ResNet18		['ResNet18']	CIFAR10	gradient-matching	single-class	from-scratch			False	16	0.01	1	8		tables/	poisons/	~/data	./models/		True		True	False									False	signAdam	250	randn	0.1	True	cross-entropy	8		512	False	True	default	False	1		False		1.0	similarity	0	0	0	2	False	1		False	False	False		conservative			False		False		0	False			0.945	0.963963963963964			0.926	0.943943943943944
0.01	16	airplane	bird	bird	0.018719788640737534	1.0			0.18629825115203857	signAdam	250	similarity	0.1	0	0	0	randn	512	1	1	False	True	False	False			2	default	40	0.1	cross-entropy	8	True	1.0	0	1.2646995041519404	0.5			4.019173622131348	0.0			0:12:43.868159	0:42:20.801537	0:13:03.101949	0.06289956993554406	0.2628514195639121	0.98004	0.917991799179918					0.061641305487345706	0.2567964949751202	0.9801	0.9225922592259226	4259751685	2656357297	ResNet18		['ResNet18']	CIFAR10	gradient-matching	single-class	from-scratch			True	16	0.01	1	8		tables/	poisons/	~/data	./models/		True		True	False									False	signAdam	250	randn	0.1	True	cross-entropy	8		512	False	True	default	False	1		False		1.0	similarity	0	0	0	2	False	1		False	False	False		conservative			False		False		0	False			0.909	0.9409409409409409			0.891	0.928928928928929
0.01	16	frog	automobile	automobile	9.059865078597795e-06	1.0			0.1894487738609314	signAdam	250	similarity	0.1	0	0	0	randn	512	1	1	False	True	False	False			2	default	40	0.1	cross-entropy	8	True	1.0	0	1.5081971493040327	0.5			13.226492881774902	0.0			0:12:37.019404	0:46:00.804250	0:13:03.259683	0.06350013084919251	0.2533905040236968	0.98024	0.9196919691969196					0.05818398661263611	0.24707169453554514	0.9817	0.9251925192519251	2967854250	2948406507	ResNet18		['ResNet18']	CIFAR10	gradient-matching	single-class	from-scratch			True	16	0.01	1	8		tables/	poisons/	~/data	./models/		True		True	False									False	signAdam	250	randn	0.1	True	cross-entropy	8		512	False	True	default	False	1		False		1.0	similarity	0	0	0	2	False	1		False	False	False		conservative			False		False		0	False			0.976	0.9579579579579579			0.974	0.948948948948949
0.01	16	dog	deer	deer	0.0	1.0			0.2234426736831665	signAdam	250	similarity	0.1	0	0	0	randn	512	1	1	False	True	False	False			2	default	40	0.1	cross-entropy	8	True	1.0	0	0.561838659050407	0.75			18.586946487426758	0.0			0:12:41.133585	0:47:15.256824	0:12:59.795807	0.06450225688669535	0.2614494670135311	0.98022	0.9185918591859186					0.06278489333818026	0.2619410425518887	0.98012	0.9203920392039204	159945850	2226638994	ResNet18		['ResNet18']	CIFAR10	gradient-matching	single-class	from-scratch			True	16	0.01	1	8		tables/	poisons/	~/data	./models/		True		True	False									False	signAdam	250	randn	0.1	True	cross-entropy	8		512	False	True	default	False	1		False		1.0	similarity	0	0	0	2	False	1		False	False	False		conservative			False		False		0	False			0.911	0.8588588588588588			0.917	0.8438438438438438
0.01	16	horse	dog	dog	0.024239491671323776	1.0			0.24830865859985352	signAdam	250	similarity	0.1	0	0	0	randn	512	1	1	False	True	False	False			2	default	40	0.1	cross-entropy	8	True	1.0	0	1.039105271268636	0.75			3.8435449600219727	0.0			0:12:54.929415	0:50:24.142503	0:12:55.037280	0.050363939652062206	0.22700036095478868	0.9844	0.9273927392739274					0.04924130508595187	0.23911654128681256	0.98496	0.9291929192919292	0	0	ResNet18		['ResNet18']	CIFAR10	gradient-matching	single-class	from-scratch	0	0	True	16	0.01	1	8		tables/	poisons/	~/data	./models/		True		True	False									False	signAdam	250	randn	0.1	True	cross-entropy	8		512	False	True	default	False	1		False		1.0	similarity	0	0	0	2	False	1		False	False	False		conservative			False		False		0	False			0.883	0.9419419419419419			0.868	0.948948948948949
0.01	16	horse	dog	dog	0.024239491671323776	1.0			0.24830865859985352	signAdam	250	similarity	0.1	0	0	0	randn	512	1	1	False	True	False	False			2	default	40	0.1	cross-entropy	8	True	1.0	0	1.039105271268636	0.75			3.8435449600219727	0.0			0:12:40.797009	0:45:02.433622	0:13:03.022032	0.050363939652062206	0.22700036095478868	0.9844	0.9273927392739274					0.04924130508595187	0.23911654128681256	0.98496	0.9291929192919292	0	0	ResNet18		['ResNet18']	CIFAR10	gradient-matching	single-class	from-scratch	0	0	True	16	0.01	1	8		tables/	poisons/	~/data	./models/		True		True	False									False	signAdam	250	randn	0.1	True	cross-entropy	8		512	False	True	default	False	1		False		1.0	similarity	0	0	0	2	False	1		False	False	False		conservative			False		False		0	False			0.883	0.9419419419419419			0.868	0.948948948948949
0.01	16	horse	dog	dog	1.967485785484314	0.0			0.10224103927612305	signAdam	250	similarity	0.1	0	0	0	randn	512	1	1	False	True	False	False			2	default	5	0.1	cross-entropy	1	True	1.0	0	1.8259360074996949	0.0			1.214303731918335	1.0			0:01:34.011459	0:06:04.485080	0:01:42.688014	1.1348611114884886	1.089926687976982	0.59044	0.6068606860686069					0.9262048565518216	0.9122946300084078	0.66738	0.6788678867886788	0	0	ResNet18		['ResNet18']	CIFAR10	gradient-matching	single-class	from-scratch	0	0	True	16	0.01	1	8		tables/	poisons/	~/data	./models/		True		True	False									False	signAdam	250	randn	0.1	True	cross-entropy	1		512	False	True	default	False	1		False		1.0	similarity	0	0	0	2	False	1		False	False	False		conservative	5		False		False		0	False	full		0.535	0.7397397397397397			0.541	0.6826826826826827
0.01	16	horse	dog	dog	1.2948851585388184	0.0			0.19343262910842896	signAdam	100	similarity	0.1	0	0	0	randn	512	1	1	False	True	False	False			2	default	10	0.1	cross-entropy	3	True	1.0	0	3.031976842880249	0.0			0.3725500702857971	1.0			0:07:00.195105	0:09:52.463731	0:07:13.114010	0.5025961171940464	0.5389116202728658	0.82596	0.8134813481348134					0.45754702301586375	0.5308718722832354	0.84116	0.8234823482348235	0	0	ResNet18		['ResNet18']	CIFAR10	gradient-matching	single-class	from-scratch	0	0	True	16	0.01	1	8		tables/	poisons/	~/data	./models/		True		True	False									False	signAdam	100	randn	0.1	True	cross-entropy	3		512	False	True	default	False	1		False		1.0	similarity	0	0	0	2	False	1		False	False	False		conservative	10		False		False		0	False			0.677	0.8628628628628628			0.69	0.8788788788788788
0.01	16	horse	dog	dog	1.2948851585388184	0.0			0.19343262910842896	signAdam	100	similarity	0.1	0	0	0	randn	512	1	1	False	True	False	False			2	default	10	0.1	cross-entropy	3	True	1.0	0	3.031976842880249	0.0			0.3725500702857971	1.0			0:07:00.883161	0:09:52.346815	0:07:12.361679	0.5025961171940464	0.5389116202728658	0.82596	0.8134813481348134					0.45754702301586375	0.5308718722832354	0.84116	0.8234823482348235	0	0	ResNet18		['ResNet18']	CIFAR10	gradient-matching	single-class	from-scratch	0	0	True	16	0.01	1	8		tables/	poisons/	~/data	./models/		True		True	False									False	signAdam	100	randn	0.1	True	cross-entropy	3		512	False	True	default	False	1		False		1.0	similarity	0	0	0	2	False	1		False	False	False		conservative	10		False		False		0	False			0.677	0.8628628628628628			0.69	0.8788788788788788
0.01	16	horse	dog	dog	1.2948851585388184	0.0			0.19343262910842896	signAdam	100	similarity	0.1	0	0	0	randn	512	1	1	False	True	False	False			2	default	10	0.1	cross-entropy	3	True	1.0	0	3.031976842880249	0.0			0.3725500702857971	1.0			0:07:00.670025	0:10:01.049042	0:07:11.960177	0.5025961171940464	0.5389116202728658	0.82596	0.8134813481348134					0.45754702301586375	0.5308718722832354	0.84116	0.8234823482348235	0	0	ResNet18		['ResNet18']	CIFAR10	gradient-matching	single-class	from-scratch	0	0	True	16	0.01	1	8		tables/	poisons/	~/data	./models/		True		True	False									False	signAdam	100	randn	0.1	True	cross-entropy	3		512	False	True	default	False	1		False		1.0	similarity	0	0	0	2	False	1		False	False	False		conservative	10		False		False		0	False			0.677	0.8628628628628628			0.69	0.8788788788788788
